sicherlich,sicher
zweifellos,sicher
zweifelsohne,sicher
definitiv,sicher
ohne_zweifel,sicher
ohne_frage,sicher
mit_sicherheit,sicher
zwingend,sicher
unvermeidlich,sicher
obligatorisch,sicher
unausweichlich,sicher
verbindlich,sicher
verpflichtend,sicher
auf_jeden_fall,sicher
wahrscheinlich,wahrscheinlich
vermutlich,wahrscheinlich
voraussichtlich,wahrscheinlich
höchstwahrscheinlich,wahrscheinlich
möglich,möglich
potenziell,möglich
möglicherweise,möglich
vielleicht,möglich
eventuell,möglich
unmöglich,unmöglich
unter_keinen_umständen,unmöglich
tatsächlich,sicher
faktisch,sicher
wohl,wahrscheinlich
offenbar,wahrscheinlich
anscheinend,wahrscheinlich
angeblich,wahrscheinlich
augenscheinlich,wahrscheinlich
offensichtlich,sicher
